Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
2141,ВО,ВО 30-160-063-5,ВО 30-160-063,630,740 - 41800,21 - 758,1100,95,65800
2142,ВО,ВО 30-160-063-5,ВО 30-160-063,630,810 - 36700,25 - 827,750,70,53500
2143,ВО,ВО 30-160-063-4,ВО 30-160-063,630,790 - 32040,22 - 789,180,79,48800
2144,ВО,ВО 30-160-063-2,ВО 30-160-063,630,560 - 38320,25 - 737,15000,77,187300
2145,ВО,ВО 30-160-063-4,ВО 30-160-063,630,780 - 40920,24 - 770,550,75,56600
2146,ВО,ВО 30-160-063-5,ВО 30-160-063,630,640 - 39100,25 - 713,250,86,48800
2147,ВО,ВО 30-160-063-3,ВО 30-160-063,630,770 - 31770,24 - 739,5500,88,102300
2148,ВО,ВО 30-160-063-3,ВО 30-160-063,630,820 - 40330,21 - 763,11000,76,152800
2149,ВО,ВО 30-160-063-1,ВО 30-160-063,630,810 - 33300,23 - 816,180,76,49900
2150,ВО,ВО 30-160-063-5,ВО 30-160-063,630,580 - 36130,24 - 820,11000,81,149800
2151,ВО,ВО 30-160-063-2,ВО 30-160-063,630,740 - 41880,24 - 837,750,88,60900
2152,ВО,ВО 30-160-063-5,ВО 30-160-063,630,570 - 41080,23 - 747,11000,83,149300
2153,ВО,ВО 30-160-063-4,ВО 30-160-063,630,820 - 32120,22 - 716,1500,87,66300
2154,ВО,ВО 30-160-063-4,ВО 30-160-063,630,620 - 32840,24 - 806,750,72,60300
2155,ВО,ВО 30-160-063-2,ВО 30-160-063,630,620 - 35530,23 - 718,180,97,55800
2156,ВО,ВО 30-160-063-2,ВО 30-160-063,630,600 - 34900,24 - 743,7500,104,114100
2157,ВО,ВО 30-160-063-5,ВО 30-160-063,630,770 - 32920,21 - 722,2200,77,76900
2158,ВО,ВО 30-160-063-3,ВО 30-160-063,630,690 - 33790,22 - 777,550,83,61300
2159,ВО,ВО 30-160-063-4,ВО 30-160-063,630,660 - 44640,23 - 844,1100,82,65300
2160,ВО,ВО 30-160-063-1,ВО 30-160-063,630,840 - 34110,25 - 848,180,83,47400
2161,ВО,ВО 30-160-063-1,ВО 30-160-063,630,690 - 41590,23 - 825,11000,70,154300
2162,ВО,ВО 30-160-063-1,ВО 30-160-063,630,840 - 36590,21 - 833,7500,97,120600
2163,ВО,ВО 30-160-063-3,ВО 30-160-063,630,730 - 45160,23 - 783,1500,104,65700
2164,ВО,ВО 30-160-063-5,ВО 30-160-063,630,660 - 35600,22 - 781,370,71,49100
2165,ВО,ВО 30-160-063-4,ВО 30-160-063,630,850 - 31760,23 - 758,180,91,58100
2166,ВО,ВО 30-160-063-1,ВО 30-160-063,630,780 - 34080,24 - 794,2200,94,68500
2167,ВО,ВО 30-160-063-2,ВО 30-160-063,630,720 - 35160,24 - 847,750,93,54300
2168,ВО,ВО 30-160-063-4,ВО 30-160-063,630,600 - 35790,22 - 791,2200,79,71700
2169,ВО,ВО 30-160-063-4,ВО 30-160-063,630,710 - 35870,23 - 749,370,102,52100
2170,ВО,ВО 30-160-063-5,ВО 30-160-063,630,780 - 39650,24 - 862,7500,104,119400
2171,ВО,ВО 30-160-063-5,ВО 30-160-063,630,650 - 40370,24 - 819,180,98,47800
2172,ВО,ВО 30-160-063-4,ВО 30-160-063,630,820 - 41970,22 - 716,2200,104,74400
2173,ВО,ВО 30-160-063-5,ВО 30-160-063,630,830 - 39960,23 - 781,2200,71,72100
2174,ВО,ВО 30-160-063-2,ВО 30-160-063,630,780 - 38750,23 - 849,1500,94,62200
2175,ВО,ВО 30-160-063-5,ВО 30-160-063,630,740 - 42930,24 - 851,180,72,51500
2176,ВО,ВО 30-160-063-3,ВО 30-160-063,630,840 - 39350,22 - 840,7500,74,114900
2177,ВО,ВО 30-160-063-4,ВО 30-160-063,630,720 - 37530,25 - 766,750,87,53300
2178,ВО,ВО 30-160-063-4,ВО 30-160-063,630,600 - 35740,22 - 711,11000,72,150800
2179,ВО,ВО 30-160-063-2,ВО 30-160-063,630,610 - 34060,23 - 736,4000,72,86100
2180,ВО,ВО 30-160-063-5,ВО 30-160-063,630,600 - 33840,25 - 810,2200,78,72500
2181,ВО,ВО 30-160-063-1,ВО 30-160-063,630,810 - 44440,23 - 836,7500,70,114600
2182,ВО,ВО 30-160-071-3,ВО 30-160-071,710,720 - 43200,24 - 907,750,84,58400
2183,ВО,ВО 30-160-071-4,ВО 30-160-071,710,930 - 34920,24 - 971,4000,97,89300
2184,ВО,ВО 30-160-071-2,ВО 30-160-071,710,660 - 35030,29 - 845,370,80,62700
2185,ВО,ВО 30-160-071-3,ВО 30-160-071,710,740 - 42340,25 - 965,1100,86,63600
2186,ВО,ВО 30-160-071-4,ВО 30-160-071,710,660 - 36320,27 - 930,2200,88,71000
2187,ВО,ВО 30-160-071-5,ВО 30-160-071,710,700 - 48030,29 - 952,1500,81,66600
2188,ВО,ВО 30-160-071-2,ВО 30-160-071,710,860 - 39540,27 - 843,7500,81,129600
2189,ВО,ВО 30-160-071-5,ВО 30-160-071,710,700 - 49060,25 - 951,550,85,65600
2190,ВО,ВО 30-160-071-2,ВО 30-160-071,710,780 - 47650,24 - 823,5500,74,107200
2191,ВО,ВО 30-160-071-4,ВО 30-160-071,710,640 - 41260,27 - 816,370,80,57400
2192,ВО,ВО 30-160-071-2,ВО 30-160-071,710,950 - 49060,25 - 944,15000,93,186700
2193,ВО,ВО 30-160-071-1,ВО 30-160-071,710,860 - 41350,28 - 854,7500,74,127600
2194,ВО,ВО 30-160-071-1,ВО 30-160-071,710,650 - 41480,28 - 799,4000,101,92900
2195,ВО,ВО 30-160-071-2,ВО 30-160-071,710,640 - 40980,26 - 814,370,91,54100
2196,ВО,ВО 30-160-071-1,ВО 30-160-071,710,940 - 36650,28 - 858,5500,72,106800
2197,ВО,ВО 30-160-071-2,ВО 30-160-071,710,780 - 48730,28 - 905,1500,97,69900
2198,ВО,ВО 30-160-071-1,ВО 30-160-071,710,650 - 34530,28 - 860,11000,101,154700
2199,ВО,ВО 30-160-071-2,ВО 30-160-071,710,830 - 47450,24 - 858,5500,82,108900
2200,ВО,ВО 30-160-071-1,ВО 30-160-071,710,890 - 38850,29 - 888,250,84,61800
2201,ВО,ВО 30-160-071-2,ВО 30-160-071,710,770 - 49360,27 - 927,11000,81,157200
2202,ВО,ВО 30-160-071-1,ВО 30-160-071,710,770 - 46960,27 - 863,2200,70,71600
2203,ВО,ВО 30-160-071-2,ВО 30-160-071,710,820 - 43440,24 - 904,15000,105,188500
2204,ВО,ВО 30-160-071-5,ВО 30-160-071,710,780 - 37620,28 - 954,3000,82,79600
2205,ВО,ВО 30-160-071-3,ВО 30-160-071,710,930 - 50280,25 - 947,3000,91,84300
2206,ВО,ВО 30-160-071-4,ВО 30-160-071,710,810 - 42680,25 - 812,1100,105,68800
2207,ВО,ВО 30-160-071-3,ВО 30-160-071,710,830 - 34530,25 - 869,2200,103,78600
2208,ВО,ВО 30-160-071-2,ВО 30-160-071,710,940 - 45140,25 - 930,15000,94,188900
2209,ВО,ВО 30-160-071-4,ВО 30-160-071,710,920 - 40890,26 - 892,1500,80,76000
2210,ВО,ВО 30-160-071-2,ВО 30-160-071,710,640 - 47370,27 - 831,550,75,62300
2211,ВО,ВО 30-160-071-4,ВО 30-160-071,710,840 - 40870,26 - 852,370,105,60100
2212,ВО,ВО 30-160-071-3,ВО 30-160-071,710,700 - 42650,27 - 932,7500,73,125500
2213,ВО,ВО 30-160-071-5,ВО 30-160-071,710,670 - 49800,26 - 845,1100,85,71700
2214,ВО,ВО 30-160-071-3,ВО 30-160-071,710,850 - 43870,24 - 805,750,93,61400
2215,ВО,ВО 30-160-071-3,ВО 30-160-071,710,710 - 43830,28 - 941,15000,79,188400
2216,ВО,ВО 30-160-071-5,ВО 30-160-071,710,690 - 39130,28 - 897,7500,81,120800
2217,ВО,ВО 30-160-071-4,ВО 30-160-071,710,640 - 50580,29 - 839,750,99,68800
2218,ВО,ВО 30-160-071-4,ВО 30-160-071,710,920 - 35380,26 - 873,250,91,55500
2219,ВО,ВО 30-160-071-4,ВО 30-160-071,710,750 - 43140,29 - 835,250,74,53100
2220,ВО,ВО 30-160-071-1,ВО 30-160-071,710,720 - 37310,28 - 832,1500,86,65200
2221,ВО,ВО 30-160-071-4,ВО 30-160-071,710,730 - 48010,26 - 847,750,74,68800
2222,ВО,ВО 30-160-071-5,ВО 30-160-071,710,700 - 41470,28 - 887,180,74,58900
2223,ВО,ВО 30-160-071-2,ВО 30-160-071,710,690 - 51010,25 - 873,1100,80,61400
2224,ВО,ВО 30-160-071-4,ВО 30-160-071,710,830 - 49020,25 - 847,3000,105,85500
2225,ВО,ВО 30-160-071-3,ВО 30-160-071,710,900 - 34080,27 - 846,550,92,65300
2226,ВО,ВО 30-160-071-3,ВО 30-160-071,710,930 - 49290,28 - 970,750,81,67300
2227,ВО,ВО 30-160-071-1,ВО 30-160-071,710,670 - 40180,26 - 962,15000,99,192400
2228,ВО,ВО 30-160-071-1,ВО 30-160-071,710,820 - 37480,28 - 931,250,91,55100
2229,ВО,ВО 30-160-071-1,ВО 30-160-071,710,860 - 34760,24 - 906,2200,93,71800
2230,ВО,ВО 30-160-071-3,ВО 30-160-071,710,850 - 43670,24 - 803,1500,102,75800
2231,ВО,ВО 30-160-071-4,ВО 30-160-071,710,840 - 36110,26 - 918,2200,101,76500
2232,ВО,ВО 30-160-071-2,ВО 30-160-071,710,770 - 50770,28 - 933,750,84,58000
2233,ВО,ВО 30-160-071-5,ВО 30-160-071,710,800 - 38320,29 - 943,7500,71,122700
2234,ВО,ВО 30-160-071-4,ВО 30-160-071,710,790 - 39060,29 - 864,2200,99,75100
2235,ВО,ВО 30-160-071-4,ВО 30-160-071,710,660 - 44370,25 - 903,370,105,59500
2236,ВО,ВО 30-160-071-4,ВО 30-160-071,710,710 - 42550,26 - 954,7500,82,119700
2237,ВО,ВО 30-160-071-3,ВО 30-160-071,710,810 - 45940,28 - 883,4000,85,90400
2238,ВО,ВО 30-160-071-5,ВО 30-160-071,710,950 - 36740,25 - 920,15000,92,194800
2239,ВО,ВО 30-160-071-4,ВО 30-160-071,710,910 - 34610,28 - 818,2200,90,79500
2240,ВО,ВО 30-160-071-5,ВО 30-160-071,710,680 - 43260,25 - 804,550,98,66700
2241,ВО,ВО 30-160-071-2,ВО 30-160-071,710,860 - 45200,24 - 820,1500,86,73800
2242,ВО,ВО 30-160-071-4,ВО 30-160-071,710,810 - 40950,26 - 849,1100,76,62100
2243,ВО,ВО 30-160-071-4,ВО 30-160-071,710,730 - 38360,26 - 932,11000,72,160000
2244,ВО,ВО 30-160-071-5,ВО 30-160-071,710,920 - 34470,26 - 800,4000,88,94600
2245,ВО,ВО 30-160-071-5,ВО 30-160-071,710,740 - 50740,27 - 815,1500,84,68400
2246,ВО,ВО 30-160-071-1,ВО 30-160-071,710,830 - 39720,25 - 967,180,90,59900
2247,ВО,ВО 30-160-071-3,ВО 30-160-071,710,870 - 41150,26 - 861,15000,100,192900
2248,ВО,ВО 30-160-071-2,ВО 30-160-071,710,830 - 34670,28 - 806,3000,95,77800
2249,ВО,ВО 30-160-071-1,ВО 30-160-071,710,950 - 42220,28 - 830,1100,70,67700
2250,ВО,ВО 30-160-071-1,ВО 30-160-071,710,830 - 45630,29 - 799,370,91,54800
2251,ВО,ВО 30-160-071-2,ВО 30-160-071,710,830 - 43320,28 - 952,250,88,64300
2252,ВО,ВО 30-160-071-5,ВО 30-160-071,710,750 - 48150,27 - 928,3000,96,82200
2253,ВО,ВО 30-160-071-2,ВО 30-160-071,710,880 - 44470,27 - 889,180,99,54500
2254,ВО,ВО 30-160-071-1,ВО 30-160-071,710,790 - 43400,27 - 801,1100,91,68300
2255,ВО,ВО 30-160-071-3,ВО 30-160-071,710,830 - 46480,27 - 976,5500,102,100300
2256,ВО,ВО 30-160-071-3,ВО 30-160-071,710,920 - 40180,26 - 865,550,78,61400
2257,ВО,ВО 30-160-071-3,ВО 30-160-071,710,850 - 51000,24 - 968,5500,91,105800
2258,ВО,ВО 30-160-071-3,ВО 30-160-071,710,780 - 36730,28 - 975,750,81,61500
2259,ВО,ВО 30-160-071-2,ВО 30-160-071,710,710 - 35650,25 - 912,11000,90,149900
2260,ВО,ВО 30-160-071-3,ВО 30-160-071,710,880 - 44260,28 - 914,7500,74,118500
2261,ВО,ВО 30-160-071-4,ВО 30-160-071,710,920 - 34730,25 - 835,3000,72,85300
2262,ВО,ВО 30-160-071-1,ВО 30-160-071,710,650 - 36600,25 - 802,1100,78,64000
2263,ВО,ВО 30-160-071-4,ВО 30-160-071,710,670 - 41700,25 - 934,2200,77,76500
2264,ВО,ВО 30-160-071-5,ВО 30-160-071,710,710 - 37870,26 - 877,5500,81,111700
2265,ВО,ВО 30-160-071-2,ВО 30-160-071,710,930 - 35590,27 - 877,250,76,59200
2266,ВО,ВО 30-160-071-1,ВО 30-160-071,710,830 - 48630,28 - 947,1100,77,63600
2267,ВО,ВО 30-160-071-5,ВО 30-160-071,710,760 - 39310,27 - 847,5500,105,104300
2268,ВО,ВО 30-160-071-5,ВО 30-160-071,710,880 - 46080,27 - 800,750,90,58500
2269,ВО,ВО 30-160-071-3,ВО 30-160-071,710,930 - 50670,27 - 863,250,70,59400
2270,ВО,ВО 30-160-071-4,ВО 30-160-071,710,770 - 35970,27 - 914,1500,90,66900
2271,ВО,ВО 30-160-071-1,ВО 30-160-071,710,840 - 35200,27 - 808,3000,104,78600
2272,ВО,ВО 30-160-071-2,ВО 30-160-071,710,830 - 50800,27 - 957,750,92,58800
2273,ВО,ВО 30-160-071-1,ВО 30-160-071,710,900 - 44030,23 - 813,180,75,56300
2274,ВО,ВО 30-160-071-1,ВО 30-160-071,710,940 - 34840,26 - 958,7500,81,129000
2275,ВО,ВО 30-160-071-4,ВО 30-160-071,710,670 - 49000,24 - 811,550,86,57800
2276,ВО,ВО 30-160-071-5,ВО 30-160-071,710,810 - 47370,26 - 802,750,105,66100
2277,ВО,ВО 30-160-071-2,ВО 30-160-071,710,930 - 43420,24 - 951,3000,99,86000
2278,ВО,ВО 30-160-071-4,ВО 30-160-071,710,720 - 46240,25 - 830,11000,89,158100
2279,ВО,ВО 30-160-071-4,ВО 30-160-071,710,750 - 42860,28 - 881,250,90,55000
2280,ВО,ВО 30-160-071-2,ВО 30-160-071,710,660 - 50010,25 - 825,750,83,62100
2281,ВО,ВО 30-160-071-1,ВО 30-160-071,710,680 - 42470,24 - 850,1500,83,74700
2282,ВО,ВО 30-160-071-2,ВО 30-160-071,710,740 - 34490,24 - 825,370,80,60300
2283,ВО,ВО 30-160-071-3,ВО 30-160-071,710,830 - 42350,24 - 827,550,100,63400
2284,ВО,ВО 30-160-071-2,ВО 30-160-071,710,880 - 36080,26 - 907,180,105,59500
2285,ВО,ВО 30-160-071-1,ВО 30-160-071,710,860 - 40480,27 - 907,7500,98,124300
2286,ВО,ВО 30-160-071-5,ВО 30-160-071,710,940 - 37820,25 - 901,750,74,65100
2287,ВО,ВО 30-160-071-5,ВО 30-160-071,710,750 - 46960,27 - 934,180,83,60500
2288,ВО,ВО 30-160-071-1,ВО 30-160-071,710,940 - 34770,28 - 928,7500,96,128000
2289,ВО,ВО 30-160-071-4,ВО 30-160-071,710,780 - 37790,25 - 879,370,77,58200
2290,ВО,ВО 30-160-071-1,ВО 30-160-071,710,810 - 43250,24 - 867,4000,76,91500
2291,ВО,ВО 30-160-071-3,ВО 30-160-071,710,940 - 48300,24 - 884,370,79,56000
2292,ВО,ВО 30-160-080-3,ВО 30-160-080,800,750 - 40180,31 - 908,3000,71,94100
2293,ВО,ВО 30-160-080-3,ВО 30-160-080,800,730 - 40040,32 - 965,750,78,73600
2294,ВО,ВО 30-160-080-4,ВО 30-160-080,800,1010 - 41540,29 - 979,750,94,67600
2295,ВО,ВО 30-160-080-1,ВО 30-160-080,800,910 - 55470,28 - 1080,180,97,63200
2296,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1000 - 39410,31 - 1031,750,86,70200
2297,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1000 - 46020,31 - 1023,370,79,61000
2298,ВО,ВО 30-160-080-1,ВО 30-160-080,800,1070 - 49530,29 - 1031,4000,84,101900
2299,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1000 - 42960,32 - 987,550,76,72200
2300,ВО,ВО 30-160-080-2,ВО 30-160-080,800,950 - 46610,30 - 1092,3000,88,93000
2301,ВО,ВО 30-160-080-1,ВО 30-160-080,800,770 - 54340,31 - 1093,11000,97,158700
2302,ВО,ВО 30-160-080-5,ВО 30-160-080,800,960 - 40510,32 - 902,4000,87,103600
2303,ВО,ВО 30-160-080-5,ВО 30-160-080,800,860 - 42960,27 - 1068,15000,86,196900
2304,ВО,ВО 30-160-080-3,ВО 30-160-080,800,980 - 38890,27 - 1090,7500,83,131400
2305,ВО,ВО 30-160-080-5,ВО 30-160-080,800,760 - 42760,29 - 1039,1100,85,68500
2306,ВО,ВО 30-160-080-4,ВО 30-160-080,800,800 - 49970,30 - 1045,550,99,63100
2307,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1030 - 38490,32 - 909,11000,88,165600
2308,ВО,ВО 30-160-080-3,ВО 30-160-080,800,970 - 56750,32 - 948,1500,103,71200
2309,ВО,ВО 30-160-080-1,ВО 30-160-080,800,760 - 56610,27 - 1038,550,73,69900
2310,ВО,ВО 30-160-080-4,ВО 30-160-080,800,810 - 50550,29 - 950,11000,90,160400
2311,ВО,ВО 30-160-080-4,ВО 30-160-080,800,1030 - 55340,32 - 979,550,75,72100
2312,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1060 - 45720,27 - 900,7500,99,126300
2313,ВО,ВО 30-160-080-4,ВО 30-160-080,800,810 - 41030,31 - 905,11000,86,163300
2314,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1020 - 42100,28 - 1085,750,84,67100
2315,ВО,ВО 30-160-080-3,ВО 30-160-080,800,820 - 55870,30 - 926,250,85,61000
2316,ВО,ВО 30-160-080-4,ВО 30-160-080,800,960 - 50800,29 - 992,750,85,66700
2317,ВО,ВО 30-160-080-5,ВО 30-160-080,800,790 - 51040,32 - 1033,5500,82,106600
2318,ВО,ВО 30-160-080-3,ВО 30-160-080,800,820 - 52410,28 - 1066,15000,85,191800
2319,ВО,ВО 30-160-080-1,ВО 30-160-080,800,970 - 50880,27 - 1091,3000,101,88800
2320,ВО,ВО 30-160-080-2,ВО 30-160-080,800,870 - 41600,31 - 1067,4000,102,94000
2321,ВО,ВО 30-160-080-1,ВО 30-160-080,800,970 - 39410,30 - 1003,180,94,68900
2322,ВО,ВО 30-160-080-4,ВО 30-160-080,800,1030 - 53220,32 - 979,7500,83,124500
2323,ВО,ВО 30-160-080-4,ВО 30-160-080,800,860 - 50530,28 - 1022,15000,70,194300
2324,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1030 - 44840,30 - 1041,2200,86,77700
2325,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1070 - 47990,29 - 1022,750,84,64600
2326,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1070 - 45620,31 - 963,250,85,68400
2327,ВО,ВО 30-160-080-2,ВО 30-160-080,800,720 - 39130,31 - 960,370,95,62200
2328,ВО,ВО 30-160-080-3,ВО 30-160-080,800,870 - 48960,27 - 1079,4000,104,92500
2329,ВО,ВО 30-160-080-2,ВО 30-160-080,800,720 - 43020,31 - 1030,250,73,60600
2330,ВО,ВО 30-160-080-2,ВО 30-160-080,800,980 - 57550,30 - 1065,2200,89,78400
2331,ВО,ВО 30-160-080-3,ВО 30-160-080,800,750 - 56670,32 - 923,2200,82,78400
2332,ВО,ВО 30-160-080-5,ВО 30-160-080,800,930 - 44000,27 - 969,250,89,59700
2333,ВО,ВО 30-160-080-4,ВО 30-160-080,800,1000 - 56650,27 - 1093,250,100,63200
2334,ВО,ВО 30-160-080-3,ВО 30-160-080,800,960 - 52880,29 - 1052,11000,83,165700
2335,ВО,ВО 30-160-080-2,ВО 30-160-080,800,970 - 54690,27 - 1013,15000,90,193000
2336,ВО,ВО 30-160-080-2,ВО 30-160-080,800,810 - 54380,31 - 1076,4000,92,103500
2337,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1030 - 53390,29 - 1055,370,96,67000
2338,ВО,ВО 30-160-080-5,ВО 30-160-080,800,750 - 40780,30 - 909,4000,99,102400
2339,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1030 - 44030,30 - 1014,180,105,68600
2340,ВО,ВО 30-160-080-2,ВО 30-160-080,800,790 - 56650,28 - 945,11000,79,164600
2341,ВО,ВО 30-160-080-1,ВО 30-160-080,800,780 - 39530,32 - 1017,3000,102,87200
2342,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1030 - 45100,31 - 946,750,84,72700
2343,ВО,ВО 30-160-080-4,ВО 30-160-080,800,870 - 42460,31 - 1094,5500,83,111200
2344,ВО,ВО 30-160-080-3,ВО 30-160-080,800,910 - 55820,31 - 942,4000,80,103600
2345,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1050 - 50620,29 - 1065,3000,93,92300
2346,ВО,ВО 30-160-080-3,ВО 30-160-080,800,920 - 53280,28 - 1002,370,104,70400
2347,ВО,ВО 30-160-080-1,ВО 30-160-080,800,990 - 47100,28 - 916,15000,79,196100
2348,ВО,ВО 30-160-080-4,ВО 30-160-080,800,810 - 50230,29 - 953,5500,73,110000
2349,ВО,ВО 30-160-080-5,ВО 30-160-080,800,720 - 40250,29 - 1094,370,78,68900
2350,ВО,ВО 30-160-080-1,ВО 30-160-080,800,840 - 52290,29 - 920,750,90,63300
2351,ВО,ВО 30-160-080-2,ВО 30-160-080,800,970 - 52480,27 - 928,1100,98,67800
2352,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1040 - 51650,27 - 1033,1100,105,68900
2353,ВО,ВО 30-160-080-3,ВО 30-160-080,800,890 - 48770,29 - 1054,7500,75,133500
2354,ВО,ВО 30-160-080-1,ВО 30-160-080,800,820 - 39270,29 - 939,180,89,61300
2355,ВО,ВО 30-160-080-5,ВО 30-160-080,800,920 - 40730,31 - 1076,4000,93,102100
2356,ВО,ВО 30-160-080-5,ВО 30-160-080,800,980 - 42240,27 - 1019,7500,105,125800
2357,ВО,ВО 30-160-080-1,ВО 30-160-080,800,720 - 44740,30 - 991,1100,96,71700
2358,ВО,ВО 30-160-080-4,ВО 30-160-080,800,910 - 55570,32 - 1060,250,77,67300
2359,ВО,ВО 30-160-080-2,ВО 30-160-080,800,820 - 44180,31 - 1016,2200,86,82800
2360,ВО,ВО 30-160-080-1,ВО 30-160-080,800,970 - 43430,28 - 1066,3000,74,84700
2361,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1060 - 41690,30 - 928,7500,73,134200
2362,ВО,ВО 30-160-080-1,ВО 30-160-080,800,1050 - 44480,31 - 967,3000,101,85800
2363,ВО,ВО 30-160-080-5,ВО 30-160-080,800,1050 - 51440,32 - 1086,1100,73,76200
2364,ВО,ВО 30-160-080-3,ВО 30-160-080,800,970 - 48620,29 - 1066,3000,80,90000
2365,ВО,ВО 30-160-080-1,ВО 30-160-080,800,900 - 39560,28 - 979,4000,99,97800
2366,ВО,ВО 30-160-080-4,ВО 30-160-080,800,960 - 43830,32 - 955,2200,76,75900
2367,ВО,ВО 30-160-080-1,ВО 30-160-080,800,1030 - 56920,29 - 1036,4000,95,103800
2368,ВО,ВО 30-160-080-3,ВО 30-160-080,800,970 - 41020,32 - 1095,370,101,68000
2369,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1040 - 42840,29 - 968,5500,87,112200
2370,ВО,ВО 30-160-080-2,ВО 30-160-080,800,960 - 39380,28 - 1069,15000,90,192400
2371,ВО,ВО 30-160-080-3,ВО 30-160-080,800,760 - 56450,31 - 967,750,88,70900
2372,ВО,ВО 30-160-080-4,ВО 30-160-080,800,910 - 38970,27 - 964,15000,91,197500
2373,ВО,ВО 30-160-080-3,ВО 30-160-080,800,840 - 50150,29 - 1071,550,94,69000
2374,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1070 - 42990,31 - 1086,3000,71,87400
2375,ВО,ВО 30-160-080-3,ВО 30-160-080,800,910 - 48580,28 - 1021,1500,77,71600
2376,ВО,ВО 30-160-080-4,ВО 30-160-080,800,980 - 39130,31 - 970,7500,70,133200
2377,ВО,ВО 30-160-080-2,ВО 30-160-080,800,990 - 55610,29 - 1063,4000,89,100300
2378,ВО,ВО 30-160-080-2,ВО 30-160-080,800,1030 - 51800,31 - 1049,550,102,64300
2379,ВО,ВО 30-160-080-2,ВО 30-160-080,800,760 - 43340,28 - 1047,370,74,59800
2380,ВО,ВО 30-160-080-5,ВО 30-160-080,800,740 - 41000,28 - 966,11000,104,164900
2381,ВО,ВО 30-160-080-3,ВО 30-160-080,800,990 - 50780,31 - 1075,3000,70,84000
2382,ВО,ВО 30-160-080-4,ВО 30-160-080,800,890 - 45310,29 - 913,550,76,72200
2383,ВО,ВО 30-160-080-1,ВО 30-160-080,800,830 - 55140,27 - 928,11000,77,161600
2384,ВО,ВО 30-160-080-4,ВО 30-160-080,800,870 - 49490,31 - 1069,750,74,65700
2385,ВО,ВО 30-160-080-3,ВО 30-160-080,800,720 - 46740,28 - 989,15000,105,195200
2386,ВО,ВО 30-160-080-2,ВО 30-160-080,800,760 - 48140,32 - 998,370,73,69700
2387,ВО,ВО 30-160-080-4,ВО 30-160-080,800,780 - 56750,32 - 1044,5500,95,107000
2388,ВО,ВО 30-160-080-5,ВО 30-160-080,800,930 - 54580,30 - 1008,5500,75,114400
2389,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1030 - 45700,31 - 1031,7500,97,132300
2390,ВО,ВО 30-160-080-3,ВО 30-160-080,800,800 - 39680,29 - 949,750,80,67700
2391,ВО,ВО 30-160-080-4,ВО 30-160-080,800,820 - 39530,31 - 1026,15000,71,193700
2392,ВО,ВО 30-160-080-3,ВО 30-160-080,800,1000 - 39250,30 - 1042,4000,100,98800
2393,ВО,ВО 30-160-080-4,ВО 30-160-080,800,900 - 43720,27 - 946,7500,94,131300
2394,ВО,ВО 30-160-080-4,ВО 30-160-080,800,860 - 55840,29 - 1089,750,77,64700
2395,ВО,ВО 30-160-080-2,ВО 30-160-080,800,930 - 39970,28 - 1043,750,76,74400
2396,ВО,ВО 30-160-080-3,ВО 30-160-080,800,930 - 42160,30 - 1078,1500,76,77000
2397,ВР,ВР 30-160-025-4,ВР 30-160-025,250,280 - 6840,150 - 790,2200,96,61000
2398,ВР,ВР 30-160-025-2,ВР 30-160-025,250,290 - 8580,146 - 706,370,88,46200
2399,ВР,ВР 30-160-025-4,ВР 30-160-025,250,310 - 7930,146 - 806,3000,85,72800
2400,ВР,ВР 30-160-025-3,ВР 30-160-025,250,280 - 6830,129 - 740,250,88,47600
2401,ВР,ВР 30-160-025-2,ВР 30-160-025,250,300 - 8590,137 - 792,2200,82,64100
2402,ВР,ВР 30-160-025-2,ВР 30-160-025,250,240 - 7520,139 - 719,2200,97,60600
2403,ВР,ВР 30-160-025-1,ВР 30-160-025,250,260 - 8580,147 - 809,2200,101,64400
2404,ВР,ВР 30-160-025-3,ВР 30-160-025,250,320 - 8930,144 - 835,250,101,42400
2405,ВР,ВР 30-160-025-4,ВР 30-160-025,250,220 - 7240,136 - 750,11000,73,164900
2406,ВР,ВР 30-160-025-5,ВР 30-160-025,250,250 - 9280,147 - 815,180,79,46200
2407,ВР,ВР 30-160-025-2,ВР 30-160-025,250,230 - 7810,132 - 746,4000,83,90900
2408,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 7720,149 - 698,550,93,50000
